домен,ip,TTL,прием-передача мин,прием-передача ср,прием-передача макс,процент потерь
google.com,64.233.164.138,109.0,80,87,97,0
ya.ru,77.88.44.242,55.0,55,55,56,0
e.mail.ru,217.69.139.216,55.0,101,129,175,0
chat.deepseek.com,3.173.21.63,247.0,68,83,112,0
github.com,140.82.121.3,51.0,77,115,187,0
youtube.com,64.233.164.190,109.0,77,235,523,0
vk.com,87.240.137.164,54.0,65,83,116,0
leetcode.com,8.47.69.6,51.0,83,98,124,0
classroom.google.com,108.177.14.113,109.0,74,81,91,0
my.cdek.ru,155.212.234.130,,,,,100
