домен,ip_версия,ip для traceroute,номер узла,ip узла,время первого запроса,время второго запроса,время третьего запроса
google.com,v4,142.251.39.142,1,10.0.0.1,0.133ms,0.172ms,0.062ms
google.com,v4,142.251.39.142,2,100.127.129.96,21.232ms,21.739ms,21.395ms
google.com,v4,142.251.39.142,3,109.120.149.42,*,21.413ms,21.270ms
google.com,v4,142.251.39.142,4,173.194.124.230,22.028ms,21.561ms,21.670ms
google.com,v4,142.251.39.142,5,192.178.109.239,21.871ms,21.824ms,21.843ms
google.com,v4,142.251.39.142,6,192.178.109.216,22.488ms,22.736ms,22.682ms
google.com,v4,142.251.39.142,8,192.178.75.30,28.232ms,28.049ms,28.136ms
google.com,v4,142.251.39.142,9,142.251.238.22,28.458ms,28.399ms,28.535ms
google.com,v4,142.251.39.142,10,72.14.236.227,28.406ms,28.326ms,28.430ms
google.com,v4,142.251.39.142,11,142.251.225.135,27.982ms,27.908ms,27.932ms
google.com,v4,142.251.39.142,12,142.251.39.142,28.109ms,28.232ms,28.231ms
google.com,v6,2a00:1450:400e:804::200e,1,2a01:e5c0:7405::1,0.200,0.158,0.317
google.com,v6,2a00:1450:400e:804::200e,2,fc80:ae3a:6547:ee7::1790,22.005,21.636,21.325
google.com,v6,2a00:1450:400e:804::200e,3,fc80:ae3a::d,21.597,21.325,21.392
google.com,v6,2a00:1450:400e:804::200e,4,2001:4860:1:1::2276,21.749,21.602,21.780
google.com,v6,2a00:1450:400e:804::200e,5,2001:4860:0:1::86a7,22.050,22.012,22.517
google.com,v6,2a00:1450:400e:804::200e,6,2001:4860:0:1::7d8c,21.988,22.370,22.169
google.com,v6,2a00:1450:400e:804::200e,7,2001:4860::c:4003:364e,22.660,22.392,22.413
google.com,v6,2a00:1450:400e:804::200e,8,(2001:4860::c:4000:d9a9),28.883,28.213,*
google.com,v6,2a00:1450:400e:804::200e,9,2607:f8b0:e000::8,28.861,28.208,28.227
google.com,v6,2a00:1450:400e:804::200e,10,2001:4860:0:1::611d,27.914,27.992,28.076
google.com,v6,2a00:1450:400e:804::200e,11,ams16s29-in-x0e.1e100.net,27.961,28.087,28.049
youtube.com,v4,172.217.171.110,1,10.0.0.1,0.084ms,0.084ms,0.142ms
youtube.com,v4,172.217.171.110,2,100.127.129.96,21.135ms,21.366ms,21.358ms
youtube.com,v4,172.217.171.110,3,109.120.149.42,21.254ms,21.308ms,21.313ms
youtube.com,v4,172.217.171.110,4,72.14.223.64,21.974ms,21.781ms,21.752ms
youtube.com,v4,172.217.171.110,5,209.85.252.185,21.964ms,21.809ms,21.986ms
youtube.com,v4,172.217.171.110,6,108.170.237.214,22.048ms,22.255ms,22.003ms
youtube.com,v4,172.217.171.110,7,209.85.240.113,22.813ms,22.459ms,22.459ms
youtube.com,v4,172.217.171.110,8,192.178.75.26,28.221ms,28.165ms,27.969ms
youtube.com,v4,172.217.171.110,9,142.251.236.91,28.530ms,28.845ms,28.612ms
youtube.com,v4,172.217.171.110,10,74.125.243.83,28.075ms,27.927ms,27.747ms
youtube.com,v4,172.217.171.110,11,142.251.255.39,27.827ms,28.049ms,27.750ms
youtube.com,v4,172.217.171.110,12,172.217.171.110,27.948ms,27.932ms,*
youtube.com,v6,2a00:1450:400e:80b::200e,1,2a01:e5c0:7405::1,0.167,0.120,0.237
youtube.com,v6,2a00:1450:400e:80b::200e,2,fc80:ae3a:6547:ee7::1790,21.429,21.494,21.456
youtube.com,v6,2a00:1450:400e:80b::200e,3,fc80:ae3a::d,21.530,21.415,21.394
youtube.com,v6,2a00:1450:400e:80b::200e,4,2001:4860:1:1::2276,21.767,*,21.813
youtube.com,v6,2a00:1450:400e:80b::200e,5,2001:4860:0:1::88ab,24.273,22.733,23.368
youtube.com,v6,2a00:1450:400e:80b::200e,6,2001:4860:0:1::7d8c,21.970,22.079,22.135
youtube.com,v6,2a00:1450:400e:80b::200e,7,2001:4860::c:4003:364d,22.480,22.351,22.339
youtube.com,v6,2a00:1450:400e:80b::200e,8,2001:4860::c:4002:54bb,28.916,28.770,28.499
youtube.com,v6,2a00:1450:400e:80b::200e,9,2001:4860::9:4003:b93b,28.126,28.162,27.814
youtube.com,v6,2a00:1450:400e:80b::200e,10,ams17s01-in-x0e.1e100.net,27.779,27.680,27.929
leetcode.com,v4,104.20.41.79,1,10.0.0.1,0.112ms,0.064ms,0.046ms
leetcode.com,v4,104.20.41.79,2,100.127.129.96,21.229ms,21.913ms,25.010ms
leetcode.com,v4,104.20.41.79,3,109.120.149.42,21.422ms,21.428ms,21.365ms
leetcode.com,v4,104.20.41.79,4,185.0.27.4,27.227ms,36.795ms,22.266ms
leetcode.com,v4,104.20.41.79,5,162.158.84.79,21.763ms,21.947ms,22.041ms
leetcode.com,v4,104.20.41.79,6,162.158.84.19,24.658ms,22.593ms,22.275ms
leetcode.com,v4,104.20.41.79,7,104.20.41.79,22.023ms,22.119ms,22.105ms
leetcode.com,v4,172.66.154.160,1,10.0.0.1,0.098ms,0.095ms,0.075ms
leetcode.com,v4,172.66.154.160,2,100.127.129.96,21.396ms,21.291ms,21.233ms
leetcode.com,v4,172.66.154.160,3,109.120.149.42,21.325ms,21.416ms,21.411ms
leetcode.com,v4,172.66.154.160,4,45.138.175.171,21.352ms,21.317ms,21.283ms
leetcode.com,v4,172.66.154.160,5,45.138.175.174,22.038ms,21.946ms,22.181ms
leetcode.com,v4,172.66.154.160,6,45.138.175.174,22.659ms,22.661ms,22.360ms
leetcode.com,v4,172.66.154.160,7,45.138.175.173,22.888ms,21.845ms,21.901ms
leetcode.com,v4,172.66.154.160,8,62.115.191.78,27.596ms,32.034ms,24.754ms
leetcode.com,v4,172.66.154.160,10,172.66.154.160,*,22.242ms,22.324ms
classroom.google.com,v4,142.251.39.142,1,10.0.0.1,0.102ms,0.177ms,0.054ms
classroom.google.com,v4,142.251.39.142,2,100.127.129.96,21.368ms,21.520ms,21.462ms
classroom.google.com,v4,142.251.39.142,3,109.120.149.42,21.426ms,21.390ms,21.473ms
classroom.google.com,v4,142.251.39.142,4,173.194.124.230,21.824ms,*,22.138ms
classroom.google.com,v4,142.251.39.142,5,192.178.109.155,23.242ms,22.539ms,22.109ms
classroom.google.com,v4,142.251.39.142,6,192.178.105.16,22.137ms,22.083ms,22.029ms
